epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.25487011671066284,9.999999747378752e-05,2.1970479488372803,0.3103448152542114,4.102262496948242
1,0.4042207896709442,9.999999747378752e-05,1.5808467864990234,0.32758620381355286,5.1704254150390625
2,0.49025973677635193,9.999999747378752e-05,1.3960492610931396,0.4712643623352051,2.702331304550171
3,0.5616883039474487,9.999999747378752e-05,1.193725347518921,0.5862069129943848,1.303351879119873
4,0.6201298832893372,9.999999747378752e-05,0.9986584186553955,0.6896551847457886,0.9393799901008606
5,0.6574675440788269,9.999999747378752e-05,0.9739108681678772,0.29885056614875793,4.512433052062988
6,0.6217532753944397,9.999999747378752e-05,1.0265573263168335,0.37931033968925476,2.828124761581421
7,0.6542207598686218,9.999999747378752e-05,0.9798449277877808,0.4655172526836395,2.7583374977111816
8,0.6964285969734192,2.9999999242136255e-05,0.8587230443954468,0.5977011322975159,1.3649287223815918
9,0.676948070526123,2.9999999242136255e-05,0.8904834985733032,0.6724137663841248,1.1278798580169678
